gene,beta,odds_ratio,p_raw,log2fc,q_bh,replicates
TRAJ46,-3.1237603625311228,0.04399143326551463,0.7305791775256756,-0.000667595846688086,0.8400635881225919,False
TRAJ45,-1.288914208811621,0.2755698320034069,0.8396946681740548,-0.0008727601647991546,0.9139980974956547,False
TRAJ44,-6.171429014735888,0.0020882497276762855,0.5199862555720326,-0.001427803287844771,0.6754811209410246,False
TRAJ43,-7.745742477311119,0.0004325803461887212,0.4580752791070677,-0.0015708441523988022,0.6225511319227417,False
TRAJ42,11.011902924427709,60591.077450568606,0.2044173186578444,0.0027018965655922077,0.36964941529809925,False
TRAJ41,-7.785988190687377,0.000415516517692081,0.3033651807270915,-0.004330007393106921,0.47727276651060874,False
TRAJ40,-7.121443962291899,0.0008075997651771645,0.6211997059509333,-0.0006653973902148061,0.7577380127937942,False
TRAJ39,-19.160238705844673,4.7732486467375225e-09,0.13140383777967216,-0.0031248086592949222,0.27364472676007207,False
TRAJ38,0.22283484470138137,1.249614176290194,0.9801754547840036,-2.832425192198819e-05,0.9990527092923809,False
TRAJ37,-6.447071577160964,0.0015851573895835382,0.3737974087485334,-0.002510399789960269,0.5459858363237349,False
TRAJ36,3.3500748645439153,28.504867567798488,0.7160093336507076,0.0006862374083376871,0.8301516622666728,False
TRAJ35,5.48511557834688,241.0768056465625,0.4065670405909718,0.0018788089661193096,0.5769583389926283,False
TRAJ34,-2.6894569922488554,0.06791780925740618,0.5269232771283943,-0.0029493187970552164,0.6805759228972923,False
TRAJ33,-6.105600917658314,0.0022303407161754444,0.39785924941584194,-0.002124942787715594,0.5685938987766525,False
TRAC,0.4309430663857937,1.5387079432585882,0.00015814900282990778,0.6019700699334294,0.0035377094251873914,True
TRAJ32,-2.6198992018346257,0.0728102015923034,0.6059415658930729,-0.002205052616725843,0.7451585878438145,False
TRAJ31,6.010456184569067,407.66925028273874,0.22547996776135726,0.004404043716289628,0.3943649400925922,False
TRAJ30,18.52883226530483,111421656.01967579,0.23564132404055316,0.0015078388532438346,0.4059417721503424,False
TRAJ29,0.1714666865821192,1.1870445975608774,0.9744157615203229,1.8759690947835542e-05,0.9961808896983888,False
TRAJ28,1.1560462668508273,3.177346030880115,0.9031213777805539,9.593244502311294e-05,0.9535241335299736,False
TRAJ27,-6.802052836486675,0.0011114910947792,0.1772633418595867,-0.006370857475197533,0.3362023255282142,False
TRAJ26,-12.859024008334874,2.6025365084446524e-06,0.045030788329519816,-0.010315550544026539,0.13142691439576573,False
TRAJ25,2.065578790669498,7.889863155541162,0.5576040508334452,0.002471794701086825,0.7063332326602046,False
TRAJ24,-46.661625825516865,5.433921839829419e-21,0.04339513827328473,-0.006283192914986415,0.1278427466868491,False
TRAJ23,-2.186401411096107,0.11232021650919866,0.7488661924766782,-0.0010047040164854523,0.8526257956069966,False
TRAJ22,2.0955712075675645,8.1300836094137,0.8146822242016043,0.0004035580674294865,0.8975843644546295,False
TRAJ21,-5.721674778969897,0.0032742227085355846,0.5763170328278803,-0.0010477875523730706,0.7219058325947932,False
TRAJ20,-15.986936694946822,1.1401490004462976e-07,0.07567990850282451,-0.004949185979004621,0.18802289283333268,False
TRAJ19,-7.367576693767327,0.0006313963934996276,0.3264990052930399,-0.0023689653358657994,0.5015396381765951,False
TRAJ18,-9.597853436480895,6.787427667554153e-05,0.15963971142273303,-0.004071607374543573,0.3124425145527952,False
TRAJ17,-7.233008952311668,0.000722344090968006,0.3604498115828879,-0.002161457867229188,0.5338459435135838,False
TRAJ16,1.7107514968047794,5.533118036132789,0.7845563576244563,0.000491662743475875,0.8767117173634226,False
TRAJ14,-7.108525136884204,0.0008181006892989683,0.5941409334813639,-0.0005432727949595691,0.7358782580542345,False
TRAJ13,7.6936951630079,2194.4685176646312,0.4246244819019892,0.001437875392043277,0.5935467291014352,False
TRAJ12,-3.6992310846959637,0.02474254407874027,0.6041381148582026,-0.0015109484408506214,0.7437089064702215,False
TRAJ11,12.333411669600453,227160.40334771769,0.3379202432779659,0.0012462378323323648,0.5130533283419246,False
TRAJ10,-10.313230204345254,3.319105306527974e-05,0.22725546258835638,-0.0025675072273041084,0.396411725659382,False
TRAJ9,-11.784631090586137,7.6207856448168e-06,0.1850235347657727,-0.003455136882515503,0.34611760684837795,False
TRAJ8,2.348633351429031,10.471249423485965,0.8605380936528476,0.00018203470913617467,0.9268947846069722,False
TRAJ7,5.060954851514481,157.74106373031753,0.3370710566339553,0.002730893471775922,0.5121168143432213,False
TRAJ6,4.6758578896983884,107.32460027820115,0.4264210077534598,0.0021761990341905334,0.5954745440793967,False
TRAJ5,-5.903040388523568,0.0027311284910204775,0.244928063670659,-0.005168161149629978,0.4154546615695637,False
TRAJ4,13.442323657859193,688536.5332669284,0.05216160378666905,0.005922646846021586,0.1456750535596205,False
TRAJ3,1.9991565045438124,7.382826091546527,0.6120863123460434,0.001984265062218011,0.7499680797213056,False
TRAJ2,5.323799521218213,205.1619200392908,0.26257597189904547,0.003981189055252401,0.43513424130722794,False
